order_id,order_date,store,sku,qty,price,unit_cost,revenue,cogs
1,2024-04-18,C,SKU002,4,43.74,39.32,174.96,157.28
2,2024-06-20,D,SKU020,3,35.26,29.66,105.78,88.98
3,2024-05-01,C,SKU007,3,16.43,35.21,49.29,105.63
4,2024-04-09,A,SKU009,3,50.17,28.58,150.51,85.74
5,2024-06-30,D,SKU020,1,35.26,29.66,35.26,29.66
6,2024-06-22,B,SKU002,1,43.74,39.32,43.74,39.32
7,2024-04-19,C,SKU015,1,55.73,12.26,55.73,12.26
8,2024-03-13,C,SKU003,2,35.86,16.0,71.72,32.0
9,2024-05-03,D,SKU020,2,35.26,29.66,70.52,59.32
10,2024-03-10,B,SKU016,4,36.37,26.86,145.48,107.44
11,2024-04-30,C,SKU010,1,49.05,29.35,49.05,29.35
12,2024-03-07,D,SKU016,1,36.37,26.86,36.37,26.86
13,2024-05-18,A,SKU013,4,9.29,6.58,37.16,26.32
14,2024-01-16,D,SKU012,1,30.57,19.63,30.57,19.63
15,2024-04-28,D,SKU013,1,9.29,6.58,9.29,6.58
16,2024-03-02,D,SKU014,4,48.82,10.7,195.28,42.8
17,2024-05-07,C,SKU009,2,50.17,28.58,100.34,57.16
18,2024-03-17,B,SKU017,4,28.35,26.91,113.4,107.64
19,2024-04-07,B,SKU002,3,43.74,39.32,131.22,117.96000000000001
20,2024-05-08,D,SKU011,3,50.25,16.77,150.75,50.31
21,2024-05-20,A,SKU012,4,30.57,19.63,122.28,78.52
22,2024-02-25,B,SKU006,1,59.94,26.67,59.94,26.67
23,2024-05-30,D,SKU016,3,36.37,26.86,109.10999999999999,80.58
24,2024-03-11,B,SKU013,1,9.29,6.58,9.29,6.58
25,2024-06-20,C,SKU003,1,35.86,16.0,35.86,16.0
26,2024-05-17,C,SKU003,2,35.86,16.0,71.72,32.0
27,2024-02-22,D,SKU010,1,49.05,29.35,49.05,29.35
28,2024-03-31,B,SKU015,4,55.73,12.26,222.92,49.04
29,2024-06-21,D,SKU017,1,28.35,26.91,28.35,26.91
30,2024-04-21,A,SKU009,2,50.17,28.58,100.34,57.16
31,2024-04-12,D,SKU019,3,22.64,13.84,67.92,41.519999999999996
32,2024-03-17,D,SKU009,4,50.17,28.58,200.68,114.32
33,2024-03-11,B,SKU014,3,48.82,10.7,146.46,32.099999999999994
34,2024-02-04,C,SKU013,4,9.29,6.58,37.16,26.32
35,2024-01-23,A,SKU003,3,35.86,16.0,107.58,48.0
36,2024-03-14,B,SKU015,2,55.73,12.26,111.46,24.52
37,2024-06-10,D,SKU001,3,52.13,31.49,156.39000000000001,94.47
38,2024-04-10,B,SKU008,4,20.26,35.81,81.04,143.24
39,2024-02-04,A,SKU015,1,55.73,12.26,55.73,12.26
40,2024-06-05,A,SKU018,3,15.42,6.14,46.26,18.419999999999998
41,2024-01-22,D,SKU009,2,50.17,28.58,100.34,57.16
42,2024-03-09,B,SKU019,3,22.64,13.84,67.92,41.519999999999996
43,2024-05-08,B,SKU010,1,49.05,29.35,49.05,29.35
44,2024-01-24,B,SKU020,2,35.26,29.66,70.52,59.32
45,2024-02-01,A,SKU007,2,16.43,35.21,32.86,70.42
46,2024-01-05,D,SKU019,4,22.64,13.84,90.56,55.36
47,2024-02-14,C,SKU007,4,16.43,35.21,65.72,140.84
48,2024-06-27,A,SKU011,3,50.25,16.77,150.75,50.31
49,2024-03-01,B,SKU006,4,59.94,26.67,239.76,106.68
50,2024-04-23,A,SKU006,2,59.94,26.67,119.88,53.34
51,2024-06-26,A,SKU015,3,55.73,12.26,167.19,36.78
52,2024-05-30,C,SKU018,2,15.42,6.14,30.84,12.28
53,2024-02-19,A,SKU012,3,30.57,19.63,91.71000000000001,58.89
54,2024-05-27,B,SKU011,1,50.25,16.77,50.25,16.77
55,2024-03-23,B,SKU014,3,48.82,10.7,146.46,32.099999999999994
56,2024-04-11,B,SKU007,1,16.43,35.21,16.43,35.21
57,2024-04-14,B,SKU015,3,55.73,12.26,167.19,36.78
58,2024-02-07,D,SKU011,2,50.25,16.77,100.5,33.54
59,2024-03-18,A,SKU011,3,50.25,16.77,150.75,50.31
60,2024-03-29,A,SKU009,3,50.17,28.58,150.51,85.74
61,2024-03-24,A,SKU005,3,32.88,17.03,98.64000000000001,51.09
62,2024-01-17,A,SKU010,3,49.05,29.35,147.14999999999998,88.05000000000001
63,2024-03-26,B,SKU007,3,16.43,35.21,49.29,105.63
64,2024-04-11,B,SKU020,3,35.26,29.66,105.78,88.98
65,2024-05-08,C,SKU013,3,9.29,6.58,27.869999999999997,19.740000000000002
66,2024-06-17,B,SKU010,2,49.05,29.35,98.1,58.7
67,2024-06-21,B,SKU011,1,50.25,16.77,50.25,16.77
68,2024-03-17,B,SKU008,3,20.26,35.81,60.78,107.43
69,2024-02-07,C,SKU017,4,28.35,26.91,113.4,107.64
70,2024-03-29,C,SKU015,1,55.73,12.26,55.73,12.26
71,2024-02-03,B,SKU002,3,43.74,39.32,131.22,117.96000000000001
72,2024-02-19,A,SKU018,1,15.42,6.14,15.42,6.14
73,2024-05-12,B,SKU018,3,15.42,6.14,46.26,18.419999999999998
74,2024-05-30,A,SKU015,1,55.73,12.26,55.73,12.26
75,2024-06-14,A,SKU007,3,16.43,35.21,49.29,105.63
76,2024-06-11,D,SKU002,2,43.74,39.32,87.48,78.64
77,2024-01-21,A,SKU006,2,59.94,26.67,119.88,53.34
78,2024-04-13,C,SKU007,4,16.43,35.21,65.72,140.84
79,2024-03-06,B,SKU016,2,36.37,26.86,72.74,53.72
80,2024-03-19,A,SKU019,2,22.64,13.84,45.28,27.68
81,2024-02-04,B,SKU017,1,28.35,26.91,28.35,26.91
82,2024-01-26,C,SKU012,3,30.57,19.63,91.71000000000001,58.89
