date,demand
2024-01-01,50
2024-01-02,42
2024-01-03,41
2024-01-04,51
2024-01-05,31
2024-01-06,41
2024-01-07,40
2024-01-08,33
2024-01-09,39
2024-01-10,47
2024-01-11,38
2024-01-12,44
2024-01-13,40
2024-01-14,35
2024-01-15,56
2024-01-16,38
2024-01-17,46
2024-01-18,40
2024-01-19,33
2024-01-20,49
2024-01-21,37
2024-01-22,42
2024-01-23,38
2024-01-24,31
2024-01-25,41
2024-01-26,38
2024-01-27,43
2024-01-28,38
2024-01-29,43
2024-01-30,39
2024-01-31,47
2024-02-01,53
2024-02-02,37
2024-02-03,27
2024-02-04,32
2024-02-05,44
2024-02-06,36
2024-02-07,34
2024-02-08,40
2024-02-09,41
2024-02-10,33
2024-02-11,36
2024-02-12,40
2024-02-13,29
2024-02-14,36
2024-02-15,47
2024-02-16,48
2024-02-17,32
2024-02-18,37
2024-02-19,36
2024-02-20,38
2024-02-21,45
2024-02-22,44
2024-02-23,46
2024-02-24,50
2024-02-25,21
2024-02-26,39
2024-02-27,47
2024-02-28,36
2024-02-29,47
2024-03-01,32
2024-03-02,41
2024-03-03,30
2024-03-04,38
2024-03-05,38
2024-03-06,36
2024-03-07,30
2024-03-08,37
2024-03-09,51
2024-03-10,45
2024-03-11,35
2024-03-12,48
2024-03-13,33
2024-03-14,35
2024-03-15,46
2024-03-16,49
2024-03-17,46
2024-03-18,37
2024-03-19,44
2024-03-20,37
2024-03-21,45
2024-03-22,44
2024-03-23,43
2024-03-24,25
2024-03-25,39
2024-03-26,46
2024-03-27,41
2024-03-28,36
2024-03-29,33
2024-03-30,34
2024-03-31,36
2024-04-01,40
2024-04-02,45
2024-04-03,45
2024-04-04,39
2024-04-05,44
2024-04-06,39
2024-04-07,43
2024-04-08,38
2024-04-09,36
2024-04-10,44
2024-04-11,35
2024-04-12,37
2024-04-13,38
2024-04-14,39
2024-04-15,47
2024-04-16,48
2024-04-17,37
2024-04-18,52
2024-04-19,37
2024-04-20,34
2024-04-21,32
2024-04-22,40
2024-04-23,45
2024-04-24,35
2024-04-25,35
2024-04-26,37
2024-04-27,34
2024-04-28,44
2024-04-29,42
2024-04-30,39
2024-05-01,43
2024-05-02,41
2024-05-03,37
2024-05-04,46
2024-05-05,39
2024-05-06,44
2024-05-07,40
2024-05-08,45
2024-05-09,42
2024-05-10,35
2024-05-11,45
2024-05-12,37
2024-05-13,45
2024-05-14,39
2024-05-15,35
2024-05-16,31
2024-05-17,42
2024-05-18,42
2024-05-19,40
2024-05-20,37
2024-05-21,39
2024-05-22,41
2024-05-23,39
2024-05-24,50
2024-05-25,29
2024-05-26,42
2024-05-27,36
2024-05-28,47
2024-05-29,35
2024-05-30,51
2024-05-31,47
2024-06-01,39
2024-06-02,39
2024-06-03,39
2024-06-04,26
2024-06-05,44
2024-06-06,39
2024-06-07,42
2024-06-08,40
2024-06-09,44
2024-06-10,38
2024-06-11,52
2024-06-12,40
2024-06-13,41
2024-06-14,42
2024-06-15,42
2024-06-16,50
2024-06-17,34
2024-06-18,41
2024-06-19,27
2024-06-20,28
2024-06-21,37
2024-06-22,52
2024-06-23,52
2024-06-24,36
2024-06-25,40
2024-06-26,38
2024-06-27,39
2024-06-28,40
2024-06-29,30
2024-06-30,38
2024-07-01,45
2024-07-02,40
2024-07-03,41
2024-07-04,31
2024-07-05,37
2024-07-06,43
2024-07-07,37
2024-07-08,34
2024-07-09,32
2024-07-10,49
2024-07-11,51
2024-07-12,44
2024-07-13,41
2024-07-14,46
2024-07-15,31
2024-07-16,43
2024-07-17,36
2024-07-18,56
2024-07-19,34
2024-07-20,45
2024-07-21,36
2024-07-22,30
2024-07-23,32
2024-07-24,38
2024-07-25,36
2024-07-26,50
2024-07-27,48
2024-07-28,28
2024-07-29,46
2024-07-30,35
2024-07-31,44
2024-08-01,41
2024-08-02,43
2024-08-03,46
2024-08-04,44
2024-08-05,37
2024-08-06,44
2024-08-07,47
2024-08-08,34
2024-08-09,45
2024-08-10,44
2024-08-11,42
2024-08-12,35
2024-08-13,40
2024-08-14,42
2024-08-15,43
2024-08-16,40
2024-08-17,37
2024-08-18,45
2024-08-19,36
2024-08-20,24
2024-08-21,36
2024-08-22,35
2024-08-23,28
2024-08-24,36
2024-08-25,37
2024-08-26,35
2024-08-27,43
2024-08-28,52
2024-08-29,44
2024-08-30,49
2024-08-31,37
2024-09-01,42
2024-09-02,46
2024-09-03,47
2024-09-04,42
2024-09-05,37
2024-09-06,34
2024-09-07,46
2024-09-08,45
2024-09-09,46
2024-09-10,28
2024-09-11,36
2024-09-12,38
2024-09-13,49
2024-09-14,33
2024-09-15,35
2024-09-16,42
2024-09-17,28
2024-09-18,40
2024-09-19,30
2024-09-20,43
2024-09-21,40
2024-09-22,48
2024-09-23,41
2024-09-24,43
2024-09-25,33
2024-09-26,43
2024-09-27,40
2024-09-28,35
2024-09-29,44
2024-09-30,25
2024-10-01,37
2024-10-02,39
2024-10-03,46
2024-10-04,43
2024-10-05,38
2024-10-06,35
2024-10-07,39
2024-10-08,46
2024-10-09,39
2024-10-10,41
2024-10-11,49
2024-10-12,33
2024-10-13,47
2024-10-14,44
2024-10-15,34
2024-10-16,43
2024-10-17,31
2024-10-18,44
2024-10-19,54
2024-10-20,50
2024-10-21,37
2024-10-22,37
2024-10-23,43
2024-10-24,36
2024-10-25,34
2024-10-26,36
2024-10-27,40
2024-10-28,49
2024-10-29,48
2024-10-30,39
2024-10-31,41
2024-11-01,38
2024-11-02,35
2024-11-03,36
2024-11-04,55
2024-11-05,27
2024-11-06,33
2024-11-07,48
2024-11-08,51
2024-11-09,37
2024-11-10,37
2024-11-11,27
2024-11-12,37
2024-11-13,41
2024-11-14,41
2024-11-15,30
2024-11-16,50
2024-11-17,30
2024-11-18,46
2024-11-19,42
2024-11-20,40
2024-11-21,41
2024-11-22,38
2024-11-23,39
2024-11-24,40
2024-11-25,44
2024-11-26,40
2024-11-27,40
2024-11-28,38
2024-11-29,31
2024-11-30,39
2024-12-01,30
2024-12-02,39
2024-12-03,44
2024-12-04,40
2024-12-05,56
2024-12-06,46
2024-12-07,31
2024-12-08,43
2024-12-09,31
2024-12-10,41
2024-12-11,41
2024-12-12,28
2024-12-13,40
2024-12-14,42
2024-12-15,42
2024-12-16,44
2024-12-17,33
2024-12-18,46
2024-12-19,42
2024-12-20,38
2024-12-21,41
2024-12-22,35
2024-12-23,48
2024-12-24,47
2024-12-25,34
2024-12-26,40
2024-12-27,46
2024-12-28,32
2024-12-29,43
2024-12-30,39
